run_id	from	to	fetched	inserted	duplicates	rejected	filings	filers	status
29967128483	0	4	500	455	45	0	49	21	success
29967177533	5	9	500	484	16	0	50	5	success
29967227143	10	14	500	465	35	0	47	2	success
29967253109	15	19	500	485	15	0	69	3	success
29967274072	20	24	500	471	29	0	66	3	success
29967339665	25	29	500	466	34	0	42	3	success
29967363611	30	34	500	461	39	0	45	3	success
29967405866	35	39	500	479	21	0	59	4	success
29967432787	40	44	500	473	27	0	68	3	success
29967463146	45	49	500	470	30	0	60	2	success
29967492462	50	54	500	414	86	0	28	1	success
29967515831	55	59	500	443	57	0	56	4	success
29967536484	60	64	500	426	74	0	34	2	success
29967557178	65	69	500	477	23	0	15	0	success
29967580741	70	74	500	489	11	0	56	1	success
29967603573	75	79	500	495	5	0	59	0	success
29967627631	80	84	500	494	6	0	51	2	success
29967649752	85	89	500	498	2	0	74	0	success
29967670494	90	94	500	491	9	0	44	1	success
29967692019	95	99	500	497	3	0	53	0	success
29967712004	100	100	100	100	0	0	9	0	success
